Adapted from the list of Gaia acronyms maintained by Jos de Bruijne.
See also LSST-specific acronyms in lsstacronyms.txt.

1D         : One-dimensional
2D         : Two-dimensional
2MASS      : Two-Micron All Sky Survey
3D         : Three-dimensional
A/D        : Analogue-to-Digital (converter)
ABI        : Application Binary Interface
AC         : Alternating Current
ACWP       : Actual Cost of Work Performed
ADASS      : Astronomical Data Analysis Software and Systems
ADC        : Analogue-to-Digital Converter
ADQL       : Astronomical Data Query Language
ADU        : Analogue-to-Digital Unit
AIT        : Assembly, Integration, and Test
AIV        : Assembly, Integration, and Verification
ALMA       : Atacama Large Millimeter Array (ESO)
AOB        : Any Other Business
API        : Application Programming Interface
arcmin     : arcminute, minute of arc (unit of angle)
arcsec     : arcsecond, second of arc (unit of angle)
ASAP       : As Soon As Possible
ASCII      : American Standard Code for Information Interchange
au         : astronomical unit
AU         : deprecated acronym for astronomical unit; use au instead
AURA       : Association of Universities for Research in Astronomy
b          : bit
B          : Byte (8 bit)
BAC        : Budget At Complete
BCWP       : Budgeted Cost of Work Performed
BCWS       : Budgeted Cost of Work Scheduled
BNF        : Backus-Naur Form
bps        : bit(s) per second
Bps        : Bytes per second
CAM        : Control (or Cost) Account Manager
CC         : Change Control
CCD        : Charge-Coupled Device
CfA        : (Harvard-Smithsonian) Center for Astrophysics
COMPASS    : Catalogues of Objects and Measured Parameters from All Sky Surveys
CORBA      : Common Object Request Broker Architecture
COTS       : Commercial-Off-The-Shelf
CPI        : Cost Performance Index
CR         : Cosmic Ray
CTIO       : Cerro Tololo Inter-American Observatory
CV         : Curriculum Vitae
DB         : DataBase
Db         : Decibel
DBMS       : DataBase Management System
DCR        : Differential Chromatic Refraction
DEC        : Declination
deg        : degree; unit of angle
DoF        : Degree(s) of Freedom (also known as DOF)
DOM        : Document Object Model
DoNM       : Date of Next Meeting
DPAC       : Data Processing and Analysis Consortium (Gaia)
DS9        : Deep Space 9 (specific astronomical data visualisation application; SAOImage)
DWDM       : Dense Wave Division Multiplex
EEPROM     : Electrically Erasable Programmable Read-Only Memory
ESA        : European Space Agency
ETC        : Estimate To Complete
eV         : electron-Volt
EVM        : Earned Value Management
EVMS       : Earned Value Management System
FAQ        : Frequently Asked Question
FFT        : Fast Fourier Transform
FIFO       : First In, First Out
FITS       : Flexible Image Transport System
FIU        : Florida International University
FK5        : Fifth Fundamental Catalogue
