LSST-specific terminology.
See also the general glossary in glossary.txt.

AOS        : Active Optics System
ACCS       : Auxiliary Camera Control System
AP         : Alert Production
ATM        : Adaptavist Test Management
CAM        : CAMera
CB         : Configuration Baseline
CCB        : Change Control Board
CCOB       : Camera Calibration Optical Bench
CM         : Configuration Management
CMDB       : Configuration Management Database
CR         : Change Request
DAC        : Data Access Center
DAQ        : Data Acquisition System
DAX        : Data Access Services
DBB        : Data Back Bone
DC         : Data Center
DDMPM      : Data Management Deputy Project Manager
DM         : Data Management
DMCCB      : DM Change Control Board
DMCS       : Data Management Control System
DMIS       : DM Interface Scientist
DMLT       : DM Leadership Team
DMO        : Data Management Organization
DMPM       : Data Management Project Manager
DMQA       : Data Management Quality Assurance
DMS        : Data Management Subsystem
DMSE       : Data Management System Engineer
DMSR       : DM System Requirements; LSE-61
DMSS       : DM Subsystem Scientist
DMSST      : DM System Science Team
DMTN       : DM Technical Note
DPDD       : Data Product Definition Document
DWDM       : Dense Wave Division Multiplex
DR         : Data Release
DRP        : Data Release Production
EFD        : Engineering Facilities Database
EIE        : European Industrial Engineering  - Italian engineering company (Dome)
EPO        : Education and Public Outreach
ETC        : Estimate To Complete
ETU        : Engineering Test Unit
FDR        : Final Design Review
ICBS       : International Communications and Base Site
IS         : Interface Scientist
ISR        : Instrument Signal Removal
IT         : Integration Test
ITC        : Information Technology Center
JTM        : Joint Technical Meeting
KPM        : Key Performance Metric
LCR        : LSST Change Request
LDF        : LSST Data Facility
LDM        : LSST Data Management (Document Handle)
LOVE       : LSST Operations Visualization Environment
LPM        : LSST Project Management (Document Handle)
LSE        : LSST Systems Engineering (Document Handle)
LSP        : LSST Science Platform
LSR        : LSST System Requirements; LSE-29
LSST       : Large Synoptic Survey Telescope
MOPS       : Moving Object Processing System
NET        : Network Engineering Team
OCS        : Observatory Control System
OPS        : Operations
OSS        : Observatory System Specifications; LSE-30
PDAC       : Prototype Data Access Center
PDR        : Preliminary Design Review
PDU        : Power Distribution Unit
PM         : Project Manager
PMCS       : Project Management Control System
PMP        : (DM) Project Management Plan; LDM-294
PS         : Project Scientist
PST        : Project Science Team
PSTN       : Project Science Technical Note
Qserv      : Proprietary LSST Database system
REB        : Readout Electronics Board
RFC        : Request For Comment
RM         : Release Manager
SAC        : Science Advisory Committee
SEMP       : Systems Engineering Management Plan
SLAC       : No longer an acronym; formerly Stanford Linear Accelerator Center
SQuaRE     : Science Quality and Reliability Engineering
SQR        : SQuARE document handle 
SRD        : LSST Science Requirements; LPM-17
SS         : Subsystem Scientist
SST        : Subsystem Science Team
SUI        : Science User Interface
SUIT       : Science User Interface and Tools
SV         : Science Validation
T&S        : Telescope and Site
T/CAM      : Technical/Control (or Cost) Account Manager
TCT        : Technical Control Team (obsolete; now DMCCB)
TS         : Test Specification
VCD        : Verification Control Document
WG         : Working Group
